,Region,Country,Country_Code,Lat,Long,Date,Confirmed,Recovered,Deaths,Population
26816,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-19,22,1,0,34656032.0
26346,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-18,22,1,0,34656032.0
25876,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-17,22,1,0,34656032.0
25406,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-16,21,1,0,34656032.0
24936,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-15,16,0,0,34656032.0
24466,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-14,11,0,0,34656032.0
23996,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-13,7,0,0,34656032.0
23526,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-12,7,0,0,34656032.0
23056,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-11,7,0,0,34656032.0
22586,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-10,5,0,0,34656032.0
22116,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-09,4,0,0,34656032.0
21646,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-08,4,0,0,34656032.0
21176,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-07,1,0,0,34656032.0
20706,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-06,1,0,0,34656032.0
20236,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-05,1,0,0,34656032.0
19766,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-04,1,0,0,34656032.0
19296,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-03,1,0,0,34656032.0
18826,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-02,1,0,0,34656032.0
18356,Unknow,Afghanistan,AFG,33.0,65.0,2020-03-01,1,0,0,34656032.0
17886,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-29,1,0,0,34656032.0
17416,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-28,1,0,0,34656032.0
16946,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-27,1,0,0,34656032.0
16476,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-26,1,0,0,34656032.0
16006,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-25,1,0,0,34656032.0
15536,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-24,1,0,0,34656032.0
15066,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-23,0,0,0,34656032.0
14596,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-22,0,0,0,34656032.0
14126,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-21,0,0,0,34656032.0
13656,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-20,0,0,0,34656032.0
13186,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-19,0,0,0,34656032.0
12716,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-18,0,0,0,34656032.0
12246,Unknow,Afghanistan,AFG,33.0,65.0,2020-02-17,0,0,0,34656032.0
26885,Unknow,Albania,ALB,41.1533,20.1683,2020-03-19,64,0,2,2876101.0
26415,Unknow,Albania,ALB,41.1533,20.1683,2020-03-18,59,0,2,2876101.0
25945,Unknow,Albania,ALB,41.1533,20.1683,2020-03-17,55,0,1,2876101.0
